n  t(ps)     E(eV)       u(eV)       Kinetic(eV)       temp(K) 
0    0 -25.8201646679 -39.2217360251  13.4015713571  120.000039727
2 0.02 -25.8136610942 -38.9992339637  13.1855728695  118.065951074
4 0.04 -25.8162927857 -38.6917350867  12.8754423009  115.288987122
6 0.06 -25.8157335321 -38.4779212915  12.6621877594  113.379468248
8 0.08 -25.8084761018 -38.3778630578   12.569386956  112.548513444
10  0.1 -25.8232605593  -38.608301414  12.7850408547  114.479516587
12 0.12   -25.81549466 -38.6269291265  12.8114344666  114.715849655
14 0.14  -25.814369766 -38.5593969972  12.7450272312  114.121227527
16 0.16 -25.8176421915 -38.6239958313  12.8063536399  114.670355034
18 0.18 -25.8234560492 -38.7385298403  12.9150737912  115.643854494
20  0.2 -25.8141407468 -38.5259271019  12.7117863551  113.823582844
22 0.22 -25.8053557503 -38.4833501124  12.6779943621  113.521003363
24 0.24 -25.8212819752 -38.7914649094  12.9701829341  116.137311505
26 0.26 -25.8114746106 -38.6838205974  12.8723459868  115.261262178
28 0.28  -25.816461473 -38.6941622828  12.8777008098   115.30921021
30  0.3 -25.8167387139 -38.7073752635  12.8906365495  115.425039111
32 0.32 -25.8133065693 -38.6143852475  12.8010786783  114.623122095
34 0.34 -25.8210420369  -38.585664264  12.7646222272  114.296684586
36 0.36 -25.8174279227 -38.6244132058  12.8069852831  114.676010879
38 0.38 -25.8195590113 -38.7199353446  12.9003763333  115.512250857
40  0.4 -25.8164268178 -38.6221325325  12.8057057147  114.664553398
42 0.42 -25.8127566419 -38.4619658562  12.6492092143   113.26325606
44 0.44 -25.8136538937 -38.6106885497   12.797034656  114.586911205
46 0.46 -25.8304285859 -38.9350390809   13.104610495  117.340999656
48 0.48 -25.8012083607 -38.6062074614  12.8049991008  114.658226252
50  0.5 -25.8179564757 -38.6692054627  12.8512489871  115.072355912
52 0.52 -25.8164846748 -38.7652056112  12.9487209364  115.945136982
54 0.54 -25.8156939104  -38.848322288  13.0326283776  116.696459048
56 0.56 -25.8070896359 -38.8634361757  13.0563465398  116.908835666
58 0.58 -25.8137021679 -38.9345534497  13.1208512818  117.486422532
60  0.6 -25.8205868591 -38.8169722138  12.9963853548  116.371932613
62 0.62 -25.8070722915  -38.449224606  12.6421523145  113.200067331
64 0.64  -25.823027271 -38.6545457533  12.8315184823  114.895685483
66 0.66 -25.8232828977 -38.7409603766  12.9176774789  115.667168375
68 0.68 -25.8082762987 -38.5688112535  12.7605349548  114.260086426
70  0.7 -25.8261368102 -38.8357979964  13.0096611862  116.490806755
72 0.72 -25.8177309081 -38.7108205826  12.8930896745  115.447004826
74 0.74 -25.8092133198 -38.4718722783  12.6626589585  113.383687448
76 0.76 -25.8131558106    -38.6774816  12.8643257894  115.189447912
78 0.78 -25.8281612265 -38.9670125048  13.1388512783  117.647597685
80  0.8 -25.8129696227 -38.7280858058  12.9151161831  115.644234079
82 0.82 -25.8140107684 -38.5450836847  12.7310729163  113.996278123
84 0.84 -25.8180317693 -38.4825334371  12.6645016679  113.400187393
86 0.86 -25.8155854359 -38.6069914405  12.7914060046  114.536511265
88 0.88  -25.823003733 -38.8365837505  13.0135800175  116.525896663
90  0.9 -25.8168254351 -38.7022071082  12.8853816731  115.377986018
92 0.92 -25.8165034805 -38.6881229251  12.8716194446  115.254756591
94 0.94 -25.8273487971 -38.8287810573  13.0014322602  116.417123497
96 0.96 -25.8091302639 -38.6853322976  12.8762020337  115.295789904
98 0.98 -25.8197584035  -38.865495228  13.0457368245    116.8138344
100    1 -25.8148556621 -38.8790315661   13.064175904  116.978941178
